Frame,YOLO_ms,Lane_ms,BEV_ms,Total_ms,FPS
1,2090.84,68.75,17.58,2328.02,0.43
2,16.9,29.66,1.2,48.36,20.68
3,19.57,32.17,1.76,54.24,18.44
4,18.15,29.75,1.56,50.2,19.92
5,17.39,26.99,1.14,46.12,21.68
6,19.66,27.41,1.48,49.25,20.3
7,17.33,30.97,1.37,50.39,19.85
8,18.71,32.43,2.39,54.61,18.31
9,17.37,27.99,1.13,47.09,21.24
10,18.13,26.83,1.21,46.77,21.38
11,17.9,30.77,1.77,51.23,19.52
12,19.27,27.99,1.86,49.94,20.02
13,16.57,27.16,1.39,45.77,21.85
14,19.6,29.49,1.91,51.81,19.3
15,17.67,29.39,1.97,49.92,20.03
16,18.88,28.33,1.88,49.9,20.04
17,16.33,26.15,1.88,45.16,22.14
18,19.1,27.12,1.68,48.64,20.56
19,16.68,28.2,1.66,47.3,21.14
20,17.68,27.74,1.72,47.88,20.89
21,16.33,26.55,1.62,45.24,22.11
22,19.32,28.23,1.69,49.99,20.0
23,20.84,37.93,1.67,61.17,16.35
24,18.52,28.69,2.03,50.07,19.97
25,16.7,28.76,1.66,47.85,20.9
26,18.38,28.1,1.91,49.21,20.32
27,17.08,28.79,1.67,48.28,20.71
28,18.76,28.17,2.01,49.77,20.09
29,16.78,31.94,2.27,51.98,19.24
30,16.73,29.48,1.75,48.77,20.5
31,17.58,29.65,1.64,49.62,20.15
32,20.33,45.23,2.79,69.48,14.39
33,16.57,28.68,1.56,47.51,21.05
34,19.06,27.36,1.99,49.24,20.31
35,16.86,30.06,1.42,49.0,20.41
36,17.21,28.4,1.39,47.65,20.99
37,20.83,37.62,1.48,60.66,16.48
38,19.65,27.69,1.55,49.54,20.19
39,16.6,30.66,1.47,49.38,20.25
40,18.95,29.77,1.66,51.06,19.59
41,16.83,28.33,1.53,47.37,21.11
42,23.37,30.87,1.82,56.89,17.58
43,18.17,31.44,1.75,52.11,19.19
44,21.01,30.45,1.81,54.06,18.5
45,18.11,28.1,1.79,48.79,20.49
46,21.44,27.29,1.87,51.49,19.42
47,16.8,30.49,2.01,50.15,19.94
48,17.71,31.0,1.48,50.88,19.65
